216.03463087839117
SB
KP
ITR
CH3
PS
IITRI
TN
SH
MB
GL
MTCC
AL
MM
PH
SSV
KH2
HH
AM
Q
CH2
FH
CTAR
SF
VC1
TBC
VC2
TS
RE
CH
HP
MH
MSV
CTAG
KH
EGF
FB
ERB
WH
TC
GH
